x,y,value
0.0,0.0,-0.01953125
0.0,0.1,0.0
0.0,0.113,0.109375
0.0,0.15,-0.4375
0.0,0.2,-0.4375
0.0,0.25,-0.75
0.0,0.287,-1.0
0.0,0.3,-0.76171875
0.0,0.4,-0.484375
0.0,0.5,-0.1875
0.0,0.6,-0.125
0.0,0.7,-0.15625
0.0,0.8,-0.09375
0.0,0.9,-0.015625
0.0,1.0,-0.03906250000000001
0.1,0.0,0.0
0.1,0.1,-0.125
0.1,0.113,-0.0625
0.1,0.15,-0.265625
0.1,0.2,-0.3125
0.1,0.25,-0.84375
0.1,0.287,-3.5
0.1,0.3,-3.41015625
0.1,0.4,-0.375
0.1,0.5,-0.078125
0.1,0.6,-0.09375
0.1,0.7,-0.171875
0.1,0.8,-0.078125
0.1,0.9,-0.015625
0.1,1.0,-0.058593750000000014
0.3,0.0,-0.25390625
0.3,0.1,-2.875
0.3,0.113,-2.515625
0.3,0.15,-0.6875
0.3,0.2,-0.21875
0.3,0.25,-0.3125
0.3,0.287,-0.375
0.3,0.3,-0.21484375
0.3,0.4,0.109375
0.3,0.5,0.0
0.3,0.6,-0.078125
0.3,0.7,-0.03125
0.3,0.8,-0.015625
0.3,0.9,0.0
0.3,1.0,0.03906250000000001
0.4,0.0,-0.1953125
0.4,0.1,-0.625
0.4,0.113,-0.53125
0.4,0.15,-0.390625
0.4,0.2,-0.28125
0.4,0.25,-0.21875
0.4,0.287,0.25
0.4,0.3,0.6640625
0.4,0.4,-0.0625
0.4,0.5,0.0
0.4,0.6,-0.015625
0.4,0.7,-0.015625
0.4,0.8,0.0
0.4,0.9,-0.03125
0.4,1.0,-0.03906250000000001
0.5,0.0,-0.078125
0.5,0.1,-0.375
0.5,0.113,-0.28125
0.5,0.15,-0.34375
0.5,0.2,-0.28125
0.5,0.25,-0.21875
0.5,0.287,-0.125
0.5,0.3,0.0546875
0.5,0.4,-0.09375
0.5,0.5,-0.046875
0.5,0.6,-0.046875
0.5,0.7,-0.03125
0.5,0.8,0.03125
0.5,0.9,0.015625
0.5,1.0,-0.03906250000000001
0.6,0.0,-0.05859375
0.6,0.1,-0.125
0.6,0.113,0.0
0.6,0.15,-0.234375
0.6,0.2,-0.21875
0.6,0.25,-0.25
0.6,0.287,-0.375
0.6,0.3,-0.1796875
0.6,0.4,-0.125
0.6,0.5,-0.078125
0.6,0.6,-0.0625
0.6,0.7,-0.046875
0.6,0.8,0.015625
0.6,0.9,0.0
0.6,1.0,-0.03906250000000001
0.7,0.0,0.078125
0.7,0.1,-0.375
0.7,0.113,-0.203125
0.7,0.15,-0.5
0.7,0.2,-0.40625
0.7,0.25,-0.40625
0.7,0.287,-0.5
0.7,0.3,-0.16796875
0.7,0.4,-0.109375
0.7,0.5,-0.09375
0.7,0.6,-0.078125
0.7,0.7,-0.03125
0.7,0.8,0.0
0.7,0.9,-0.046875
0.7,1.0,-0.058593750000000014
0.8,0.0,-0.01953125
0.8,0.1,-0.5
0.8,0.113,-0.265625
0.8,0.15,-0.359375
0.8,0.2,-0.15625
0.8,0.25,-0.09375
0.8,0.287,-0.75
0.8,0.3,-0.65234375
0.8,0.4,-0.203125
0.8,0.5,-0.140625
0.8,0.6,-0.046875
0.8,0.7,-0.078125
0.8,0.8,-0.0625
0.8,0.9,-0.03125
0.8,1.0,-0.058593750000000014
0.9,0.0,-0.01953125
0.9,0.1,-0.25
0.9,0.113,0.0625
0.9,0.15,-0.34375
0.9,0.2,-0.25
0.9,0.25,-0.3125
0.9,0.287,-0.5
0.9,0.3,-0.2734375
0.9,0.4,-0.140625
0.9,0.5,-0.109375
0.9,0.6,-0.0625
0.9,0.7,-0.078125
0.9,0.8,-0.0625
0.9,0.9,-0.015625
0.9,1.0,-0.019531250000000003
1.0,0.0,-0.0390625
1.0,0.1,-0.5
1.0,0.113,-0.203125
1.0,0.15,-0.359375
1.0,0.2,-0.15625
1.0,0.25,-0.21875
1.0,0.287,-0.25
1.0,0.3,-0.14453125
1.0,0.4,-0.1875
1.0,0.5,-0.09375
1.0,0.6,-0.078125
1.0,0.7,-0.109375
1.0,0.8,-0.046875
1.0,0.9,-0.015625
1.0,1.0,-0.019531250000000003
0.113,0.0,-0.01953125
0.113,0.1,-0.125
0.113,0.113,0.078125
0.113,0.15,0.05278716216216218
0.15,0.0,0.078125
0.15,0.1,0.0
0.15,0.113,0.0
0.2,0.0,0.13671875
0.2,0.1,0.13671875
0.25,0.0,0.29296875
0.25,0.1,-1.125
0.25,0.113,-1.201923076923077
0.287,0.0,0.09765625
0.287,0.1,-2.875
0.287,0.113,-2.796875
0.287,0.15,-1.7419763513513518
0.113,0.25,-2.2698479729729746
0.113,0.287,-3.375
0.113,0.3,-3.16796875
0.113,0.4,-0.140625
0.113,0.5,-0.03125
0.113,0.6,-0.09375
0.113,0.7,-0.203125
0.113,0.8,-0.078125
0.113,0.9,0.0
0.113,1.0,-0.03906250000000001
0.15,0.287,-1.502403846153845
0.15,0.3,-1.18359375
0.15,0.4,0.125
0.15,0.5,0.03125
0.15,0.6,-0.0625
0.15,0.7,-0.1875
0.15,0.8,-0.109375
0.15,0.9,-0.015625
0.15,1.0,-0.019531250000000003
0.2,0.3,0.09765624999999997
0.2,0.4,0.0625
0.2,0.5,0.0625
0.2,0.6,0.015625
0.2,0.7,-0.109375
0.2,0.8,-0.09375
0.2,0.9,-0.03125
0.2,1.0,0.0
0.25,0.287,-0.15024038461538447
0.25,0.3,-0.0859375
0.25,0.4,0.078125
0.25,0.5,0.0625
0.25,0.6,0.015625
0.25,0.7,-0.109375
0.25,0.8,-0.078125
0.25,0.9,0.015625
0.25,1.0,0.0
0.287,0.25,-0.1583614864864866
0.287,0.287,-0.5
0.287,0.3,-0.3359375
0.287,0.4,0.09375
0.287,0.5,0.0
0.287,0.6,-0.0625
0.287,0.7,-0.03125
0.287,0.8,-0.015625
0.287,0.9,-0.015625
0.287,1.0,0.0
